NOME_MUNICIPIO,NUM_HABITANTES,ANO
Santa Helena,27576,2000
Santa Ines,72266,2000
Santa Luzia,55334,2000
Santa Luzia do Parua,19940,2000
Santa Quiteria do Maranhao,20367,2000
Santa Rita,19999,2000
Santana do Maranhao,5970,2000
Santo Amaro do Maranhao,9743,2000
Santo Antonio dos Lopes,14294,2000
Sao Benedito do Rio Preto,13344,2000
Sao Bento,31582,2000
Sao Bernardo,23373,2000
Sao Domingos do Azeitao,5603,2000
Sao Domingos do Maranhao,34913,2000
Sao Felix de Balsas,5173,2000
Sao Francisco do Brejao,7286,2000
Sao Francisco do Maranhao,11903,2000
Sao Joao do Caru,14790,2000
Sao Joao do Paraiso,9159,2000
Sao Joao do Soter,12286,2000
Sao Joao dos Patos,24015,2000
Sao Joao Batista,19325,2000
Sao Jose de Ribamar,100999,2000
Sao Jose dos Basilios,7486,2000
Sao Luis,855442,2000
Sao Luis Gonzaga do Maranhao,22523,2000
Sao Mateus do Maranhao,33533,2000
Sao Pedro da agua Branca,10387,2000
Sao Pedro dos Crentes,4046,2000
Sao Raimundo das Mangabeiras,15752,2000
Sao Raimundo do Doca Bezerra,5918,2000
Sao Roberto,3592,2000
Sao Vicente Ferrer,17018,2000
Satubinha,7274,2000
Senador Alexandre Costa,8911,2000
Senador La Rocque,17551,2000
Serrano do Maranhao,15442,2000
Sitio Novo,19595,2000
Sucupira do Norte,10667,2000
Sucupira do Riachao,3892,2000
Tasso Fragoso,6353,2000
Timbiras,28005,2000
Timon,128135,2000
Trizidela do Vale,19342,2000
Tufilandia,5228,2000
Tuntum,34494,2000
Turiacu,31462,2000
Turilandia,19730,2000
Tutoia,40694,2000
Urbano Santos,23563,2000
Vargem Grande,30595,2000
Viana,51846,2000
Vila Nova dos Martirios,5613,2000
Vitoria do Mearim,28712,2000
Vitorino Freire,29077,2000
Ze Doca,42740,2000
Acaua,4596,2000
Agricolandia,5568,2000
agua Branca,13877,2000
Alagoinha do Piaui,6734,2000
Alegrete do Piaui,4348,2000
Alto Longa,12523,2000
Altos,40742,2000
Alvorada do Gurgueia,3975,2000
Amarante,17441,2000
Angical do Piaui,7647,2000
Anisio de Abreu,6706,2000
Antonio Almeida,2395,2000
Aroazes,6222,2000
Arraial,4572,2000
Assuncao do Piaui,6481,2000
Avelino Lopes,9532,2000
Baixa Grande do Ribeiro,8371,2000
Barra D'Alcantara,4201,2000
